date,month,daylight_count,clear_sky_index_mean,dominant_regime,baseline_pred_mae,attention_pred_mae,hybrid_pred_mae
2021-11-22,11,10,0.25758104331759185,cloudy,10.197805404663086,10.296107292175293,0.48320858287767887
2021-11-23,11,10,0.16580974290003409,cloudy,8.6465425491333,8.20470142364502,1.9098572712923487
2021-11-24,11,10,0.2511905625046008,cloudy,10.889765739440918,10.69481372833252,0.8818040884359271
2021-11-25,11,10,0.27169776869446494,cloudy,9.702984809875488,4.988114356994629,1.1535686130854095
2021-11-26,11,10,0.2630316694091625,cloudy,9.600011825561523,4.647892951965332,0.6632726668184351
2021-11-27,11,10,0.24612517120632643,cloudy,10.35120964050293,5.089937686920166,1.0084899820857909
2021-11-28,11,10,0.24715704334572028,cloudy,10.148687362670898,6.250273704528809,0.941721952142605
2021-11-29,11,10,0.24605619566034762,cloudy,11.262748718261719,4.673168182373047,0.6215125739179693
2021-11-30,11,10,0.2416192977496728,cloudy,10.956706047058105,5.9770188331604,1.6742230484898457
2021-12-01,12,10,0.24448709306539343,cloudy,10.636059761047363,5.756282806396484,0.2894748839910026
2021-12-02,12,10,0.22397353998324587,cloudy,11.472514152526855,4.030583381652832,0.9831730883875164
2021-12-03,12,10,0.22037593398327102,cloudy,10.131448745727539,4.198544502258301,0.573139333234262
2021-12-04,12,10,0.2227258655088422,cloudy,10.762279510498047,4.355238914489746,0.42306059215021363
2021-12-05,12,10,0.22954862691246283,cloudy,9.611398696899414,4.575557708740234,0.4998924069851151
2021-12-06,12,10,0.2326041619660723,cloudy,11.212918281555176,6.046358585357666,0.8953113740175637
2021-12-07,12,10,0.15031709772892615,cloudy,9.555376052856445,3.6753756999969482,0.4136212433753215
2021-12-08,12,10,0.2071751850963271,cloudy,11.060144424438477,4.6147894859313965,1.069790204513141
2021-12-09,12,10,0.12664834257806806,cloudy,7.733980655670166,12.084039688110352,0.7841353569692038
2021-12-10,12,10,0.15004763045695663,cloudy,7.859309196472168,6.224062919616699,1.6337447431646777
2021-12-11,12,10,0.2104567360904273,cloudy,8.909872055053711,10.976828575134277,0.8577719860882521
2021-12-12,12,10,0.20414740098930703,cloudy,11.203832626342773,9.187596321105957,1.1756066709788997
2021-12-13,12,10,0.18989391633497704,cloudy,12.186803817749023,7.732104301452637,0.589380124981215
2021-12-14,12,10,0.13417262996716223,cloudy,12.038683891296387,5.212203502655029,0.9064901598526369
2021-12-15,12,10,0.18536320283663746,cloudy,13.540788650512695,19.84879493713379,2.140988544194144
2021-12-16,12,10,0.1792137458541752,cloudy,11.325218200683594,12.809347152709961,0.8086360709380651
2021-12-17,12,10,0.18767367109371139,cloudy,12.607833862304688,12.430580139160156,0.5221507439760267
2021-12-18,12,10,0.18681019768238633,cloudy,10.493392944335938,7.4626617431640625,0.794243535753661
2021-12-19,12,10,0.17249620302838659,cloudy,10.875971794128418,6.396154403686523,0.3957005532623311
2021-12-20,12,10,0.1397768916453147,cloudy,8.10826301574707,4.020060062408447,0.28192779710694393
2021-12-21,12,10,0.09589675995478897,cloudy,5.231940269470215,9.02973747253418,0.8416731658320054
2021-12-22,12,9,0.12039187982868109,cloudy,8.54263973236084,5.293439865112305,0.922414935727383
2021-12-23,12,9,0.06046200872919352,cloudy,6.291331768035889,9.625349044799805,0.8399092211772697
2021-12-24,12,9,0.07897451470657484,cloudy,7.42523717880249,4.243285655975342,0.557032275781183
2021-12-25,12,9,0.15649764656834922,cloudy,13.117814064025879,7.297670841217041,0.22106571386347124
2021-12-26,12,9,0.16491153064801578,cloudy,13.063068389892578,7.019998073577881,0.6063792733326407
2021-12-27,12,9,0.1544050592066434,cloudy,12.329854965209961,9.906740188598633,0.24303093118575092
2021-12-28,12,9,0.14947418918836905,cloudy,12.80693531036377,7.370265483856201,1.3096471576631463
2021-12-29,12,9,0.05134233513409664,cloudy,5.800317764282227,14.30948543548584,0.17265771850787737
2021-12-30,12,9,0.018500734964996143,cloudy,9.412878036499023,15.701167106628418,1.003380542454654
2021-12-31,12,9,0.1390743517464593,cloudy,14.445942878723145,9.073430061340332,0.4687331806866756
